serialNumber,name,itemCategory,goldKarat,goldWeightGrams,stockCount,description,photoUrl,diamondweight1,diamondpieces1,diamondweight2,diamondpieces2,diamondweight3,diamondpieces3,stonetype1,stonecarats1,stonepieces1,stonetype2,stonecarats2,stonepieces2,stonetype3,stonecarats3,stonepieces3
76,Diamond Ring,Ring,14k,2.55,1,,,0.31,0.31,0.08,1,,,,,,,,,,,
77,Diamond Ring,Ring,14k,3.5,1,,,0.32,0.32,,,,,,,,,,,,,
78,Diamond Ring,Ring,14k,3.13,1,,,0.25,0.25,,,,,,,,,,,,,
79,Diamond Ring,Ring,14k,2.844,1,,,0.18,0.18,,,,,,,,,,,,,
80,Diamond Ring,Ring,14k,2.84,1,,,0.65,0.65,,,,,,,,,,,,,
81,Diamond Ring,Ring,14k,3.468,1,,,0.46,0.46,,,,,,,,,,,,,
82,Diamond Ring,Ring,14k,2.456,1,,,0.42,0.42,,,,,,,,,,,,,
83,Diamond Ring,Ring,14k,5.21,1,,,0.53,0.53,,,,,,,,,,,,,
84,Diamond Ring,Ring,14k,2.86,1,,,0.4,0.4,,,,,,,,,,,,,
85,Diamond Ring,Ring,14k,3.038,1,,,0.51,0.51,,,,,,,,,,,,,
86,Diamond Ring,Ring,14k,4.08,1,,,0.95,0.95,,,,,,,,,,,,,
87,Diamond Ring,Ring,14k,3.122,1,,,0.42,0.42,0.07,1,,,,,,,,,,,
88,Diamond Ring,Ring,14k,2.634,1,,,0.23,0.23,,,,,,,,,,,,,
89,Diamond Ring,Ring,14k,2.408,1,,,0.21,0.21,,,,,,,,,,,,,
90,Diamond Ring,Ring,14k,2.514,1,,,0.28,0.28,,,,,,,,,,,,,
91,Diamond Ring,Ring,14k,2.734,1,,,0.28,0.28,,,,,,,,,,,,,
92,Diamond Ring,Ring,14k,2.736,1,,,0.42,0.42,,,,,,,,,,,,,
93,Diamond Ring,Ring,14k,2.914,1,,,0.63,0.63,,,,,,,,,,,,,
94,Diamond Ring,Ring,14k,3.124,1,,,0.73,0.73,,,,,,,,,,,,,
95,Diamond Ring,Ring,14k,1.568,1,,,0.26,0.26,,,,,,,,,,,,,
96,Diamond Ring,Ring,14k,6.804,1,,,1.48,1.48,,,,,,,,,,,,,
97,Diamond Ring,Ring,14k,5.308,1,,,0.96,0.96,,,,,,,,,,,,,
98,Diamond Ring,Ring,14k,5.168,1,,,1.21,1.21,,,,,,,,,,,,,
99,Diamond Ring,Ring,14k,3.242,1,,,1.17,1.17,0.07,1,,,,,,,,,,,
100,Diamond Ring,Ring,14k,4.32,1,,,1.01,1.01,,,,,,,,,,,,,
101,Diamond Ring,Ring,14k,4.064,1,,,0.5,0.5,,,,,,,,,,,,,
102,Diamond Ring,Ring,14k,2.294,1,,,0.78,0.78,,,,,,,,,,,,,
103,Diamond Ring,Ring,14k,1.578,1,,,0.21,0.21,,,,,,,,,,,,,
104,Diamond Ring,Ring,14k,3.94,1,,,0.59,0.59,,,,,Other,6.01,,,,,,,
105,Diamond Ring,Ring,14k,8.098,1,,,0.94,0.94,,,,,Other,5.42,,,,,,,
106,Diamond Ring,Ring,14k,4.208,1,,,0.44,0.44,,,,,Other,7.32,,,,,,,
107,Diamond Ring,Ring,14k,5.354,1,,,0.94,0.94,,,,,Other,3.69,,,,,,,
108,Diamond Ring,Ring,14k,5.882,1,,,0.62,0.62,,,,,Other,1.97,,,,,,,
109,Diamond Ring,Ring,14k,2.968,1,,,0.51,0.51,,,,,,,,,,,,,
110,Diamond Ring,Ring,14k,2.1,1,,,0.35,0.35,,,,,,,,,,,,,
111,Diamond Ring,Ring,14k,9.014,1,,,1.35,1.35,,,,,Other,5.53,,,,,,,
112,Diamond Ring,Ring,14k,4.174,1,,,0.48,0.48,,,,,Other,6.9,,,,,,,
113,Diamond Ring,Ring,14k,3.52,1,,,,,0.75,10,,,,,,,,,,,
114,Diamond Ring,Ring,14k,5.35,1,,,0.52,0.52,,,,,Other,10.93,,,,,,,
115,Diamond Ring,Ring,14k,4.32,1,,,0.62,0.62,,,,,,,,,,,,,
116,Diamond Ring,Ring,14k,4.96,1,,,0.87,0.87,,,,,Other,2.8,,,,,,,
117,Diamond Ring,Ring,14k,8.124,1,,,1.73,1.73,,,,,,,,Emerald,4.9,,,,
118,Diamond Ring,Ring,14k,10.43,1,,,2.03,2.03,,,,,Other,9.32,,,,,,,
119,Diamond Ring,Ring,14k,3.444,1,,,0.93,0.93,,,,,,,,,,,,,
120,Diamond Ring,Ring,14k,5.33,1,,,,,1.82,10,,,,,,,,,,,
121,Diamond Ring,Ring,14k,3.618,1,,,0.34,0.34,,,,,,,,,,,,,
122,Diamond Ring,Ring,14k,1.98,1,,,0.42,0.42,,,,,,,,,,,,,
123,Diamond Ring,Ring,14k,4.3,1,,,0.33,0.33,,,,,,,,Emerald,1.19,,,,
124,Diamond Ring,Ring,14k,4.446,1,,,0.62,0.62,,,,,Other,2.1,,,,,,,
125,Diamond Ring,Ring,14k,1.946,1,,,0.42,0.42,,,,,,,,,,,,,
126,Diamond Ring,Ring,14k,3.43,1,,,0.5,0.5,,,,,,,,,,,,,
127,Diamond Ring,Ring,14k,9.142,1,,,1.09,1.09,,,,,Other,10.4,,,,,,,
128,Diamond Ring,Ring,14k,3.354,1,,,0.83,0.83,0.1,1,,,,,,,,,,,
129,Diamond Ring,Ring,14k,2.45,1,,,0.19,0.19,,,,,,,,,,,,,
130,Diamond Ring,Ring,14k,2.78,1,,,,,,,,,,,,,,,,,
131,Diamond Ring,Ring,14k,3.798,1,,,0.33,0.33,,,,,Other,3.48,,,,,,,
132,Diamond Ring,Ring,14k,3.486,1,,,0.77,0.77,,,,,,,,,,,,,
133,Diamond Ring,Ring,14k,4.59,1,,,0.17,0.17,,,,,,,,,,,,,
134,Diamond Ring,Ring,14k,3.24,1,,,0.27,0.27,,,,,,,,,,,,,
135,Diamond Ring,Ring,14k,2.75,1,,,0.26,0.26,,,,,,,,,,,,,
136,Diamond Ring,Ring,14k,3.34,1,,,0.26,0.26,,,,,,,,,,,,,
137,Diamond Ring,Ring,14k,3.18,1,,,0.505,0.505,,,,,,,,,,,,,
138,Diamond Ring,Ring,14k,1.68,1,,,0.19,0.19,,,,,,,,,,,,,
139,Diamond Ring,Ring,14k,3.12,1,,,0.04,0.04,,,,,,,,,,,,,
140,Diamond Ring,Ring,14k,3.37,1,,,0.33,0.33,,,,,,,,,,,,,
141,Diamond Ring,Ring,14k,3.44,1,,,0.71,0.71,,,,,,,,,,,,,
142,Diamond Ring,Ring,14k,2.66,1,,,0.07,0.07,,,,,,,,,,,,,
143,Diamond Ring,Ring,14k,2.36,1,,,0.08,0.08,,,,,,,,,,,,,
144,Diamond Ring,Ring,14k,2.06,1,,,0.15,0.15,,,,,,,,,,,,,
145,Diamond Ring,Ring,14k,3.56,1,,,0.8,0.8,,,,,,,,,,,,,
146,Diamond Ring,Ring,14k,2.81,1,,,0.6,0.6,,,,,,,,,,,,,
147,Diamond Ring,Ring,14k,2.72,1,,,0.27,0.27,,,,,,,,,,,,,
148,Diamond Ring,Ring,14k,7.19,1,,,,,1.63,10,,,,,,,,,,,
149,Diamond Ring,Ring,14k,2.126,1,,,0.4,0.4,0.07,1,,,,,,,,,,,
150,Diamond Ring,Ring,14k,6.882,1,,,1.15,1.15,,,,,Other,2.39,,,,,,,
151,Diamond Ring,Ring,14k,4.832,1,,,0.69,0.69,,,,,,,,,,,,,
152,Diamond Ring,Ring,14k,6.774,1,,,1.31,1.31,,,,,,,,,,,,,
153,Diamond Ring,Ring,14k,1.896,1,,,0.62,0.62,,,,,,,,,,,,,
154,Diamond Ring,Ring,14k,4.87,1,,,,,1.25,10,,,,,,,,,,,
155,Diamond Ring,Ring,14k,7.258,1,,,1.61,1.61,,,,,Other,2.4,,,,,,,
156,Diamond Ring,Ring,14k,4.038,1,,,1.31,1.31,,,,,,,,,,,,,
157,Diamond Ring,Ring,14k,4.814,1,,,0.98,0.98,,,,,,,,,,,,,
158,Diamond Ring,Ring,14k,6.03,1,,,0.5,0.5,,,,,Other,2.34,,,,,,,
159,Diamond Ring,Ring,14k,4.64,1,,,0.45,0.45,,,,,,,,,,,,,
160,Diamond Ring,Ring,14k,7.54,1,,,1.66,1.66,,,,,Other,4.24,,,,,,,
161,Diamond Ring,Ring,14k,4.13,1,,,0.65,0.65,,,,,,,,,,,,,
162,Diamond Ring,Ring,14k,3.674,1,,,0.46,0.46,,,,,,,,,,,,,
163,Diamond Ring,Ring,14k,3.82,1,,,0.2,0.2,,,,,,,,,,,,,
164,Diamond Ring,Ring,14k,3.376,1,,,0.42,0.42,,,,,Other,0.9,,,,,,,
165,Diamond Ring,Ring,14k,1.562,1,,,0.49,0.49,,,,,,,,,,,,,
166,Diamond Ring,Ring,14k,3.422,1,,,0.25,0.25,,,,,,,,Emerald,0.89,,,,
167,Diamond Ring,Ring,14k,2.176,1,,,0.62,0.62,,,,,,,,,,,,,
168,Diamond Ring,Ring,14k,1.814,1,,,0.13,0.13,,,,,,,,,,,,,
169,Diamond Ring,Ring,14k,2.63,1,,,0.55,0.55,,,,,,,,,,,,,
170,Diamond Ring,Ring,14k,1.488,1,,,0.16,0.16,,,,,,,,,,,,,
171,Diamond Ring,Ring,14k,3.064,1,,,0.53,0.53,,,,,,,,,,,,,
172,Diamond Ring,Ring,14k,2.47,1,,,0.27,0.27,,,,,,,,,,,,,
173,Diamond Ring,Ring,14k,1.622,1,,,0.29,0.29,,,,,,,,,,,,,
174,Diamond Ring,Ring,14k,10.234,1,,,1.69,1.69,,,,,,,,,,,,,
175,Diamond Ring,Ring,14k,7.776,1,,,1.77,1.77,,,,,,,,,,,,,
176,Diamond Ring,Ring,14k,2.082,1,,,0.34,0.34,,,,,,,,,,,,,
177,Diamond Ring,Ring,14k,2.836,1,,,0.57,0.57,,,,,,,,,,,,,
178,Diamond Ring,Ring,14k,3.226,1,,,0.52,0.52,,,,,,,,,,,,,
179,Diamond Ring,Ring,14k,2.874,1,,,0.53,0.53,,,,,,,,,,,,,
180,Diamond Ring,Ring,14k,4.134,1,,,0.48,0.48,,,,,Other,8.25,,,,,,,
181,Diamond Ring,Ring,14k,4.884,1,,,0.58,0.58,,,,,Other,8.25,,,,,,,
182,Diamond Ring,Ring,14k,4.214,1,,,0.4,0.4,,,,,Other,6.53,,,,,,,
183,Diamond Ring,Ring,14k,7.32,1,,,1.265,1.265,,,,,,,,,,,,,
184,Diamond Ring,Ring,14k,4.882,1,,,0.34,0.34,,,,,Other,4.35,,,,,,,
185,Diamond Ring,Ring,14k,8.17,1,,,1.84,1.84,,,,,,,,Emerald,3.61,,,,
186,Diamond Ring,Ring,14k,6.108,1,,,1.16,1.16,,,,,,,,,,,Ruby,4.05,
187,Diamond Ring,Ring,14k,5.242,1,,,0.39,0.39,,,,,,,,Emerald,3,,,,
188,Diamond Ring,Ring,14k,3.734,1,,,,,,,,,,,,Emerald,1.66,,,,
189,Diamond Ring,Ring,14k,4.086,1,,,0.47,0.47,,,,,Other,5.35,,,,,,,
190,Diamond Ring,Ring,14k,4.144,1,,,0.53,0.53,,,,,Other,6.75,,,,,,,
191,Diamond Ring,Ring,14k,4.202,1,,,0.47,0.47,,,,,,,,,,,,,
192,Diamond Ring,Ring,14k,3.438,1,,,0.26,0.26,,,,,,,,,,,,,
193,Diamond Ring,Ring,14k,3.05,1,,,0.25,0.25,,,,,,,,,,,,,
194,Diamond Ring,Ring,14k,2.244,1,,,0.17,0.17,,,,,Other,0.41,,,,,,,
195,Diamond Ring,Ring,14k,2.248,1,,,0.31,0.31,,,,,,,,,,,,,
196,Diamond Ring,Ring,14k,3.032,1,,,0.24,0.24,,,,,,,,,,,,,
197,Diamond Ring,Ring,14k,3.644,1,,,1,1,0.08,1,,,,,,,,,,,
198,Diamond Ring,Ring,14k,3.21,1,,,0.84,0.84,,,,,,,,,,,,,
199,Diamond Ring,Ring,14k,3.166,1,,,0.89,0.89,0.08,1,,,,,,,,,,,
200,Diamond Ring,Ring,14k,2.564,1,,,0.23,0.23,,,,,,,,,,,,,
201,Diamond Ring,Ring,14k,2.322,1,,,0.34,0.34,,,,,,,,,,,,,
202,Diamond Ring,Ring,14k,7.434,1,,,1.58,1.58,,,,,,,,,,,,,
203,Diamond Ring,Ring,14k,3.588,1,,,0.41,0.41,,,,,,,,,,,,,
204,Diamond Ring,Ring,14k,4.61,1,,,1.1,1.1,,,,,,,,,,,,,
205,Diamond Ring,Ring,14k,2.03,1,,,,,,,,,,,,,,,,,
206,Diamond Ring,Ring,14k,2.558,1,,,0.61,0.61,,,,,,,,,,,,,
207,Diamond Ring,Ring,14k,3.332,1,,,0.89,0.89,,,,,,,,,,,,,
208,Diamond Ring,Ring,14k,3.3,1,,,0.96,0.96,,,,,,,,,,,,,
209,Diamond Ring,Ring,14k,3.292,1,,,0.39,0.39,,,,,,,,,,,,,
210,Diamond Ring,Ring,14k,2.94,1,,,0.35,0.35,,,,,,,,,,,,,
211,Diamond Ring,Ring,14k,2.71,1,,,0.35,0.35,,,,,,,,,,,,,
212,Diamond Ring,Ring,14k,1.42,1,,,,,,,,,,,,,,,,,
213,Diamond Ring,Ring,14k,1.872,1,,,,,0.44,5,,,,,,,,,,,
214,Diamond Ring,Ring,14k,2.52,1,,,0.35,0.35,,,,,,,,,,,,,
215,Diamond Ring,Ring,14k,4.22,1,,,1.06,1.06,,,,,,,,,,,,,
216,Diamond Ring,Ring,14k,10.93,1,,,2.6,2.6,,,,,,,,,,,,,
217,Diamond Ring,Ring,14k,4.14,1,,,0.6,0.6,,,,,,,,,,,,,
218,Diamond Ring,Ring,14k,8.164,1,,,,,2.14,10,,,Other,11.14,,,,,,,
219,Diamond Ring,Ring,14k,4.302,1,,,0.62,0.62,,,,,,,,Emerald,0.97,,,,
220,Diamond Ring,Ring,14k,8.996,1,,,1.42,1.42,,,,,,,,,,,,,
221,Diamond Ring,Ring,14k,6.08,1,,,2.15,2.15,,,,,,,,,,,,,
222,Diamond Ring,Ring,14k,4.62,1,,,0.86,0.86,,,,,,,,,,,,,
223,Diamond Ring,Ring,14k,8.084,1,,,1.16,1.16,,,,,Other,6.97,,,,,,,
224,Diamond Ring,Ring,14k,3.588,1,,,0.38,0.38,,,,,,,,,,,,,
225,Diamond Ring,Ring,14k,3.48,1,,,0.51,0.51,,,,,,,,,,,,,
226,Diamond Ring,Ring,14k,5.2,1,,,1.5,1.5,,,,,,,,,,,,,
227,Diamond Ring,Ring,14k,2.47,1,,,0.54,0.54,,,,,,,,,,,,,
228,Diamond Ring,Ring,14k,5.27,1,,,0.71,0.71,,,,,,,,,,,,,
229,Diamond Ring,Ring,14k,2.134,1,,,0.38,0.38,,,,,,,,,,,,,
230,Diamond Ring,Ring,14k,2.96,1,,,0.25,0.25,,,,,,,,,,,,,
231,Diamond Ring,Ring,14k,2.718,1,,,0.36,0.36,,,,,,,,,,,,,
232,Diamond Ring,Ring,14k,9.382,1,,,1.59,1.59,,,,,Other,7.1,,,,,,,
233,Diamond Ring,Ring,14k,6.92,1,,,1.53,1.53,,,,,Other,16.62,,,,,,,
234,Diamond Ring,Ring,14k,5.252,1,,,1.06,1.06,,,,,Other,5.3,,,,,,,
235,Diamond Ring,Ring,14k,8.08,1,,,0.95,0.95,,,,,Other,6.8,,,,,,,
236,Diamond Ring,Ring,14k,2.946,1,,,0.21,0.21,0.31,3,,,,,,,,,,,
237,Diamond Ring,Ring,14k,4.172,1,,,0.02,0.02,,,,,,,,,,,,,
238,Diamond Ring,Ring,14k,4.124,1,,,0.53,0.53,,,,,,,,,,,,,
239,Diamond Ring,Ring,14k,3.338,1,,,0.41,0.41,,,,,,,,,,,,,
240,Diamond Ring,Ring,14k,5.238,1,,,0.86,0.86,,,,,Other,4.25,,,,,,,
241,Diamond Ring,Ring,14k,4.28,1,,,0.45,0.45,,,,,Other,3.7,,,,,,,
242,Diamond Ring,Ring,14k,4.114,1,,,,,0.93,10,,,,,,,,,,,
243,Diamond Ring,Ring,14k,2.858,1,,,0.91,0.91,,,,,,,,,,,,,
244,Diamond Ring,Ring,14k,2.54,1,,,0.4,0.4,,,,,,,,,,,,,
245,Diamond Ring,Ring,14k,5.64,1,,,0.76,0.76,,,,,,,,,,,,,
246,Diamond Ring,Ring,14k,5.7,1,,,1.2,1.2,,,,,,,,,,,,,
247,Diamond Ring,Ring,14k,4.79,1,,,1.94,1.94,,,,,,,,,,,,,
248,Diamond Ring,Ring,14k,2.296,1,,,0.22,0.22,,,,,,,,,,,,,
249,Diamond Ring,Ring,14k,3.12,1,,,0.31,0.31,,,,,Other,4.99,,,,,,,
250,Diamond Ring,Ring,14k,3.99,1,,,0.5,0.5,,,,,,,,,,,,,
251,Diamond Ring,Ring,14k,2.532,1,,,0.46,0.46,,,,,,,,Emerald,0.63,,,,
252,Diamond Ring,Ring,14k,2.486,1,,,0.22,0.22,,,,,,,,Emerald,0.55,,,,
253,Diamond Ring,Ring,14k,2.924,1,,,0.31,0.31,,,,,Other,2.07,,,,,,,
254,Diamond Ring,Ring,14k,2.904,1,,,0.48,0.48,,,,,,,,Emerald,0.55,,,,
255,Diamond Ring,Ring,14k,3.85,1,,,0.78,0.78,,,,,,,,,,,,,
256,Diamond Ring,Ring,14k,3.905,1,,,0.34,0.34,0.12,1,,,,,,,,,,,
257,Diamond Ring,Ring,14k,7.404,1,,,1.46,1.46,,,,,,,,,,,Ruby,0.27,
258,Diamond Ring,Ring,14k,2.218,1,,,,,,,,,,,,,,,,,
259,Diamond Ring,Ring,14k,6.002,1,,,1.44,1.44,,,,,,,,,,,,,
260,Diamond Ring,Ring,14k,1.82,1,,,0.33,0.33,,,,,,,,,,,,,
261,Diamond Ring,Ring,14k,1.82,1,,,0.25,0.25,,,,,,,,,,,,,
262,Diamond Ring,Ring,14k,4.556,1,,,0.87,0.87,,,,,,,,,,,,,
263,Diamond Ring,Ring,14k,3.474,1,,,0.88,0.88,,,,,,,,,,,,,
264,Diamond Ring,Ring,14k,1.554,1,,,0.28,0.28,,,,,,,,,,,,,
265,Diamond Ring,Ring,14k,1.802,1,,,0.44,0.44,,,,,,,,,,,,,
266,Diamond Ring,Ring,14k,2.412,1,,,0.29,0.29,,,,,,,,,,,,,
267,Diamond Ring,Ring,14k,3.45,1,,,0.79,0.79,,,,,,,,,,,,,
268,Diamond Ring,Ring,14k,1.512,1,,,0.19,0.19,,,,,,,,,,,,,
269,Diamond Ring,Ring,14k,2.86,1,,,0.35,0.35,,,,,,,,,,,,,
270,Diamond Ring,Ring,14k,1.512,1,,,0.19,0.19,,,,,,,,,,,,,
271,Diamond Ring,Ring,14k,2.6,1,,,0.6,0.6,,,,,,,,,,,,,
272,Diamond Ring,Ring,14k,3.268,1,,,0.41,0.41,,,,,,,,,,,,,
273,Diamond Ring,Ring,14k,2.474,1,,,0.18,0.18,0.49,3,,,,,,,,,,,
274,Diamond Ring,Ring,14k,3.262,1,,,0.39,0.39,,,,,,,,,,,,,
275,Diamond Ring,Ring,14k,1.96,1,,,0.19,0.19,,,,,,,,,,,,,
276,Diamond Ring,Ring,14k,2.758,1,,,0.25,0.25,,,,,Other,1.41,,,,,,,
277,Diamond Ring,Ring,14k,6.756,1,,,,,,,,,,,,,,,,,
278,Diamond Ring,Ring,14k,4.716,1,,,0.57,0.57,,,,,Other,7.6,,,,,,,
279,Diamond Ring,Ring,14k,4.346,1,,,0.57,0.57,,,,,Other,6.35,,,,,,,
280,Diamond Ring,Ring,14k,4.498,1,,,0.56,0.56,,,,,Other,8.1,,,,,,,
281,Diamond Ring,Ring,14k,4.546,1,,,0.57,0.57,,,,,Other,7.15,,,,,,,
282,Diamond Ring,Ring,14k,5.254,1,,,0.9,0.9,0.18,2,,,,,,,,,,,
283,Diamond Ring,Ring,14k,6.588,1,,,1.06,1.06,,,,,Other,5.5,,,,,,,
284,Diamond Ring,Ring,14k,9.76,1,,,1.7,1.7,,,,,,8.4,,,,,,,
285,Diamond Ring,Ring,14k,3.556,1,,,0.57,0.57,,,,,,,,,,,,,
286,Diamond Ring,Ring,14k,2.34,1,,,,,,,,,,,,,,,,,
287,Diamond Ring,Ring,14k,4.154,1,,,0.93,0.93,,,,,,,,,,,,,
288,Diamond Ring,Ring,14k,2.416,1,,,0.18,0.18,0.29,2,,,,,,,,,,,
289,Diamond Ring,Ring,14k,2.386,1,,,0.22,0.22,,,,,,,,,,,,,
290,Diamond Ring,Ring,14k,1.896,1,,,0.27,0.27,,,,,,,,,,,,,
